feature_name,importance
v257_imputed,0.043171615461259596
v258_imputed,0.03114725128548269
c14_imputed,0.028720014494511302
c13_imputed,0.02733879634804979
v201_imputed,0.026693310704639206
c4_imputed,0.02641003152611376
v29_imputed,0.02626014936305142
v294_imputed,0.025569806675738237
v70_imputed,0.025290600352418695
v90_imputed,0.02526338182986157
v232_imputed,0.023018000888976566
v274_imputed,0.02146415232978968
c8_imputed,0.019549407758059904
v69_imputed,0.019107038079954074
v217_imputed,0.018858974184449928
v295_imputed,0.0154903655720126
c5_imputed,0.015313251898912077
c1_imputed,0.015266842286513344
v168_imputed,0.015251833251155844
v30_imputed,0.01513483707145932
v318_imputed,0.014689674331011517
v102_imputed,0.014284448547138786
v317_imputed,0.01382503888281017
v283_imputed,0.013521055324160336
v308_imputed,0.011776699441599914
v265_imputed,0.011448634409939724
v246_imputed,0.01099234001519357
v133_imputed,0.010660565679151293
v91_imputed,0.010487668526899823
productcd_ohe_C,0.010410364000533103
v171_imputed,0.010123507101983323
c2_imputed,0.01005989208101541
v204_imputed,0.009564734334604794
email_domain_match_imputed,0.009416429712765363
v49_imputed,0.009407486098132436
d3_imputed,0.009282276366684553
d2_imputed,0.009110395620232109
card6_ohe_credit,0.009074264601359643
card6_ohe_debit,0.00904134988712429
v263_imputed,0.009017146120045833
c7_imputed,0.008232070018624691
id_35_ohe_F,0.008031784531250198
v279_imputed,0.007955751633128928
c11_imputed,0.00793089073413638
c6_imputed,0.007440056273931173
transactiondt_imputed,0.00738109401849114
id_17_ohe_225.0,0.007252185107675905
v312_imputed,0.007210953034510083
v280_imputed,0.0071312792743331525
c10_imputed,0.006812744823532695
r_emaildomain_ohe___MISSING__,0.006586408763672952
id_36_ohe___MISSING__,0.00628173017770558
transactionamt_imputed,0.006150008061509365
log_transactionamt_imputed,0.005928784526753962
c12_imputed,0.005743857905274915
identity_present_imputed,0.005525662771346103
v281_imputed,0.005491011240205971
m4_ohe___MISSING__,0.0054606640332019105
id_28_ohe___MISSING__,0.005301880691031519
v202_imputed,0.005231627204114814
id_36_ohe_F,0.005218230852857363
v264_imputed,0.005161574956080627
d15_imputed,0.005133844195733868
id_12_ohe___MISSING__,0.004889352791115545
d1_imputed,0.004751278813158848
v52_imputed,0.004667656810597916
v282_imputed,0.004391388301062755
v134_imputed,0.004084054291137456
v315_imputed,0.004056631447887465
id_11_ohe_100.0,0.004023164415530083
id_29_ohe_Found,0.003967826506170527
card3_imputed,0.003894302825232169
v103_imputed,0.003692600074285421
v128_imputed,0.003674594913208239
v307_imputed,0.0036645262674125855
v45_imputed,0.003624765033012326
v48_imputed,0.0033719791632734193
event_day_imputed,0.0033258669720566424
v190_imputed,0.003305723445782891
v316_imputed,0.0030024335454275444
v79_imputed,0.002949112799868216
v95_imputed,0.0029150166813108206
d8_imputed,0.0028687367023281945
d4_imputed,0.0028492674688879796
v74_imputed,0.002845549961762125
v310_imputed,0.002828069164450477
v306_imputed,0.0027664651924011285
v285_imputed,0.002723432859771216
v313_imputed,0.0026126245205289004
d10_imputed,0.002594007655229811
v287_imputed,0.002536424859083463
v314_imputed,0.0025273843469666574
card2_imputed,0.002524094058611581
v127_imputed,0.0023463919829798626
v131_imputed,0.0020969597193282626
