feature_name,importance
v258_imputed,0.052431137387172824
log_transactionamt_imputed,0.04070779723383391
c14_imputed,0.03641737854826789
card2_imputed,0.035633619894572414
card1_imputed,0.034289797166720676
v294_imputed,0.032592050890862895
c1_imputed,0.028141982704267696
addr1_imputed,0.026103948416779016
c13_imputed,0.025722057569257408
d3_imputed,0.019946682001935903
card5_imputed,0.019331358551542523
c2_imputed,0.01855996176277252
event_day_imputed,0.018554085827259117
c6_imputed,0.018235755903929445
d2_imputed,0.018023045927216666
r_emaildomain_ohe_gmail.com,0.01777066148003034
d15_imputed,0.017686452068588952
v201_imputed,0.015528235637923396
c8_imputed,0.014989202464070588
dist1_imputed,0.014704409853771578
transactiondt_imputed,0.014148725986064084
d4_imputed,0.014131830553689634
d1_imputed,0.013495285112400952
d10_imputed,0.013411862919529652
event_hour_sin_imputed,0.012553168953047446
c9_imputed,0.011331235042096897
card3_imputed,0.010466318285623614
c11_imputed,0.009828492653863544
v296_imputed,0.009636459456366648
m6_ohe_F,0.009436476855584141
d11_imputed,0.009286640675059984
m5_ohe_T,0.008726244905696791
event_hour_cos_imputed,0.008292266394943015
event_minute_sin_imputed,0.0075042699893594625
event_minute_cos_imputed,0.007441762264494858
v310_imputed,0.007291609008233107
c5_imputed,0.0072908101050232444
card6_ohe_credit,0.0068642163717068235
v48_imputed,0.006466977469858333
m4_ohe___MISSING__,0.006364376542651417
event_second_sin_imputed,0.006220719392674026
v76_imputed,0.006218030055678771
m4_ohe_M0,0.006095251565901245
v281_imputed,0.006072858877380424
d8_imputed,0.005986827167494314
v285_imputed,0.005973842582461189
m5_ohe_F,0.005917053423080106
v307_imputed,0.005908186501368612
card6_ohe_debit,0.00586296002233383
v317_imputed,0.005836321973237658
v187_imputed,0.005675906627912361
d5_imputed,0.005314350674989693
v83_imputed,0.005243456800301378
p_emaildomain_ohe_anonymous.com,0.0052432002885758906
v90_imputed,0.004996205550308463
m6_ohe_T,0.004967714776883677
id_01_ohe_-50.0,0.004961733387110017
event_second_cos_imputed,0.004915864445749462
v283_imputed,0.00474976819434726
v96_imputed,0.004434297032545605
c4_imputed,0.004352092562810378
productcd_ohe_R,0.004330084026338832
v75_imputed,0.004282562743187796
card4_ohe_discover,0.0041976564408935674
v87_imputed,0.004151296363769218
v45_imputed,0.004059219107307084
r_emaildomain_ohe_hotmail.com,0.004058361857644379
v54_imputed,0.004032071737674853
p_emaildomain_ohe___MISSING__,0.003927565100198885
v315_imputed,0.0038679541314863134
v127_imputed,0.0038358722244603957
id_17_ohe_225.0,0.0037757036800105865
p_emaildomain_ohe___OTHER__,0.0037354590337067297
c10_imputed,0.003655004025648054
v55_imputed,0.003588374554702933
v291_imputed,0.003391810804084869
m4_ohe_M1,0.0033020907084051177
productcd_ohe_H,0.003277670683021228
p_emaildomain_ohe_yahoo.com,0.003163069646461334
v131_imputed,0.003147521108374295
v314_imputed,0.0031310990470057435
c12_imputed,0.003068536961854033
m4_ohe_M2,0.0030558945091718063
r_emaildomain_ohe_anonymous.com,0.0029927814498104327
v74_imputed,0.0028170075905709613
v264_imputed,0.0026868467040651214
v70_imputed,0.002643827463528418
p_emaildomain_ohe_hotmail.com,0.0025338021536722446
v265_imputed,0.002298004488053265
v130_imputed,0.0022958446005971926
v289_imputed,0.002217615580050249
v312_imputed,0.0021690827423205476
p_emaildomain_ohe_aol.com,0.001993896890122704
v313_imputed,0.0019136620009966015
m6_ohe___MISSING__,0.0018934227117190082
p_emaildomain_ohe_comcast.net,0.0018587164012199844
v308_imputed,0.001847677911463293
v133_imputed,0.0018201284542371775
v126_imputed,0.0018125316750553224
v203_imputed,0.001809478106005667
v128_imputed,0.0018066998366057616
card4_ohe_mastercard,0.0018000252634963734
id_36_ohe_F,0.001765905590915689
card4_ohe_visa,0.0017656459504365183
v40_imputed,0.001750058700525203
